experiment_id,runner_name,research_family,universe_policy,symbols_count,timeframe,window,forward_set,cache_mode,started_at,finished_at,elapsed_seconds,windows_processed,clusters_processed,candidates_total,candidates_accepted,candidates_rejected,near_misses,rejected_persisted,store_rejected_enabled,cache_hit_rate,data_missing_count,blocker_counts,fdr_fail_count,wrc_fail_count,spa_fail_count,cost_x2_fail_count,oos_fail_count,drawdown_fail_count,placebo_fail_count,artifact_bytes,cpu_seconds,memory_peak_mb,decision,safety_flags
CAPACITY-001-GAP-DRY-RUN-PARSER,gap_matrix_parser_capacity,daily_gap,existing_gap_matrix,0,1d,pre_registered_gap_matrix,"same_day,next_day",cache_only,2026-07-06T06:50:21.241786Z,2026-07-06T06:50:21.548696Z,0.30687133099991115,92,0,0,0,0,0,False,False,1.0,0,{},0,0,0,0,0,0,0,123281,,,READY,"{""cache_only"": true, ""dry_run"": true, ""no_candidate_approval"": true, ""no_downloads"": true, ""no_ibkr"": true, ""no_orders"": true, ""no_preview"": true, ""no_signals"": true}"
CAPACITY-001-INTRADAY-CACHE-PARSE,intraday_cache_parse_microbench,intraday,cached_ohlcv_sample,194,"15m,1d,1h,30m,5m",max_files=250,diagnostic_only,cache_only,2026-07-06T06:50:21.241786Z,2026-07-06T06:50:21.548696Z,0.30687133099991115,200049,250,0,0,0,0,False,False,1.0,0,{},0,0,0,0,0,0,0,15458046,,,READY,"{""cache_only"": true, ""dry_run"": true, ""no_candidate_approval"": true, ""no_downloads"": true, ""no_ibkr"": true, ""no_orders"": true, ""no_preview"": true, ""no_signals"": true}"
CAPACITY-001-REJECTED-NEAR-MISS-PARSE,artifact_text_counter,cross_research,existing_artifacts_only,0,mixed,json_files=44,diagnostic_only,cache_only,2026-07-06T06:50:21.241786Z,2026-07-06T06:50:21.548696Z,0.30687133099991115,44,0,0,0,221,5,True,True,1.0,0,"{""cache"": 81, ""cost_x2"": 5, ""drawdown"": 14, ""fdr"": 16, ""oos"": 27, ""placebo"": 26, ""spa"": 23, ""wrc"": 19}",0,0,0,0,0,0,0,1069548,,,READY,"{""cache_only"": true, ""dry_run"": true, ""no_candidate_approval"": true, ""no_downloads"": true, ""no_ibkr"": true, ""no_orders"": true, ""no_preview"": true, ""no_signals"": true}"
