experiment_id,timeframe,window,forward_set,regime,symbols_cached,selected_symbols,cache_hit_rate,min_rows,estimated_windows,estimated_runtime_seconds,classification,needs_director_approval
RC-002-B,15m,W100,standard,spy_qqq_negative,11,117,0.094017,780,6288,0.010526,DATA_MISSING,True
RC-002-B,15m,W100,standard,gap_day,11,117,0.094017,780,6288,0.010526,DATA_MISSING,True
RC-002-B,15m,W100,standard,high_rvol,11,117,0.094017,780,6288,0.010526,DATA_MISSING,True
RC-002-B,15m,W100,standard,first_hour,11,117,0.094017,780,6288,0.010526,DATA_MISSING,True
RC-002-B,15m,W100,standard,last_hour,11,117,0.094017,780,6288,0.010526,DATA_MISSING,True
RC-002-B,15m,W100,slow,no_filter,11,117,0.094017,780,12489,0.020906,DATA_MISSING,True
RC-002-B,15m,W100,slow,spy_qqq_positive,11,117,0.094017,780,6244,0.010452,DATA_MISSING,True
RC-002-B,15m,W100,slow,spy_qqq_negative,11,117,0.094017,780,6244,0.010452,DATA_MISSING,True
RC-002-B,15m,W100,slow,gap_day,11,117,0.094017,780,6244,0.010452,DATA_MISSING,True
RC-002-B,15m,W100,slow,high_rvol,11,117,0.094017,780,6244,0.010452,DATA_MISSING,True
RC-002-B,15m,W100,slow,first_hour,11,117,0.094017,780,6244,0.010452,DATA_MISSING,True
RC-002-B,15m,W100,slow,last_hour,11,117,0.094017,780,6244,0.010452,DATA_MISSING,True
RC-002-B,30m,W20,fast,no_filter,117,117,1.0,143,84149,0.14086,READY,True
RC-002-B,30m,W20,fast,spy_qqq_positive,117,117,1.0,143,42074,0.070429,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,fast,spy_qqq_negative,117,117,1.0,143,42074,0.070429,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,fast,gap_day,117,117,1.0,143,42074,0.070429,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,fast,high_rvol,117,117,1.0,143,42074,0.070429,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,fast,first_hour,117,117,1.0,143,42074,0.070429,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,fast,last_hour,117,117,1.0,143,42074,0.070429,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,standard,no_filter,117,117,1.0,143,83096,0.139098,READY,True
RC-002-B,30m,W20,standard,spy_qqq_positive,117,117,1.0,143,41548,0.069549,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,standard,spy_qqq_negative,117,117,1.0,143,41548,0.069549,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,standard,gap_day,117,117,1.0,143,41548,0.069549,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,standard,high_rvol,117,117,1.0,143,41548,0.069549,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,standard,first_hour,117,117,1.0,143,41548,0.069549,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,standard,last_hour,117,117,1.0,143,41548,0.069549,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,slow,no_filter,117,117,1.0,143,82160,0.137531,READY,True
RC-002-B,30m,W20,slow,spy_qqq_positive,117,117,1.0,143,41080,0.068766,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,slow,spy_qqq_negative,117,117,1.0,143,41080,0.068766,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,slow,gap_day,117,117,1.0,143,41080,0.068766,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,slow,high_rvol,117,117,1.0,143,41080,0.068766,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,slow,first_hour,117,117,1.0,143,41080,0.068766,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W20,slow,last_hour,117,117,1.0,143,41080,0.068766,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,fast,no_filter,117,117,1.0,143,80639,0.134985,READY,True
RC-002-B,30m,W50,fast,spy_qqq_positive,117,117,1.0,143,40319,0.067492,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,fast,spy_qqq_negative,117,117,1.0,143,40319,0.067492,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,fast,gap_day,117,117,1.0,143,40319,0.067492,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,fast,high_rvol,117,117,1.0,143,40319,0.067492,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,fast,first_hour,117,117,1.0,143,40319,0.067492,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,fast,last_hour,117,117,1.0,143,40319,0.067492,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,standard,no_filter,117,117,1.0,143,79586,0.133222,READY,True
RC-002-B,30m,W50,standard,spy_qqq_positive,117,117,1.0,143,39793,0.066611,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,standard,spy_qqq_negative,117,117,1.0,143,39793,0.066611,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,standard,gap_day,117,117,1.0,143,39793,0.066611,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,standard,high_rvol,117,117,1.0,143,39793,0.066611,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,standard,first_hour,117,117,1.0,143,39793,0.066611,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,standard,last_hour,117,117,1.0,143,39793,0.066611,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,slow,no_filter,117,117,1.0,143,78650,0.131655,READY,True
RC-002-B,30m,W50,slow,spy_qqq_positive,117,117,1.0,143,39325,0.065828,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,slow,spy_qqq_negative,117,117,1.0,143,39325,0.065828,NEEDS_DIRECTOR_APPROVAL,True
