experiment_id,pattern_id,variant_id,created_at,tested_at,status,reason_status,parameters_json,dataset_start,dataset_end,in_sample_start,in_sample_end,out_of_sample_start,out_of_sample_end,paper_live_start,paper_live_end,number_of_assets_tested,number_of_events,number_of_trades,gross_pnl,net_pnl,winrate,profit_factor,sharpe,sortino,max_drawdown,notes
EXP_PATTERN_000200_RR_1_5,PATTERN_000200,RR_1_5,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 1.5, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,,,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.57576,2.0469,,,8.0,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000200_RR_2,PATTERN_000200,RR_2,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 2.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,,,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.57576,2.41095,,,8.0,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000200_RR_2_5,PATTERN_000200,RR_2_5,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 2.5, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,,,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.56061,2.63684,,,8.0,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000200_RR_3,PATTERN_000200,RR_3,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 3.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,,,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.56061,2.95158,,,8.0,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000200_RR_4,PATTERN_000200,RR_4,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 4.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,,,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.56061,3.39764,,,8.0,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000200_RR_5,PATTERN_000200,RR_5,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 5.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,,,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.56061,3.62472,,,8.0,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000410_RR_1_5,PATTERN_000410,RR_1_5,2026-06-07T17:14:02.102623+00:00,2026-06-07T17:14:02.102623+00:00,discarded,muestras insuficientes: 67 < 100; poca diversidad de símbolos: 6 < 8,"{""cluster_id"": 4, ""rr"": 1.5, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-10T00:00:00+00:00,2023-02-13T00:00:00+00:00,2021-09-10T00:00:00+00:00,,,2023-02-13T00:00:00+00:00,,,6,67,0,,,0.61194,2.15852,,,8.40755,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000410_RR_2,PATTERN_000410,RR_2,2026-06-07T17:14:02.102623+00:00,2026-06-07T17:14:02.102623+00:00,discarded,muestras insuficientes: 67 < 100; poca diversidad de símbolos: 6 < 8,"{""cluster_id"": 4, ""rr"": 2.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-10T00:00:00+00:00,2023-02-13T00:00:00+00:00,2021-09-10T00:00:00+00:00,,,2023-02-13T00:00:00+00:00,,,6,67,0,,,0.61194,2.51675,,,9.37962,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000410_RR_2_5,PATTERN_000410,RR_2_5,2026-06-07T17:14:02.102623+00:00,2026-06-07T17:14:02.102623+00:00,discarded,muestras insuficientes: 67 < 100; poca diversidad de símbolos: 6 < 8,"{""cluster_id"": 4, ""rr"": 2.5, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-10T00:00:00+00:00,2023-02-13T00:00:00+00:00,2021-09-10T00:00:00+00:00,,,2023-02-13T00:00:00+00:00,,,6,67,0,,,0.61194,2.77442,,,9.37962,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000410_RR_3,PATTERN_000410,RR_3,2026-06-07T17:14:02.102623+00:00,2026-06-07T17:14:02.102623+00:00,discarded,muestras insuficientes: 67 < 100; poca diversidad de símbolos: 6 < 8,"{""cluster_id"": 4, ""rr"": 3.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-10T00:00:00+00:00,2023-02-13T00:00:00+00:00,2021-09-10T00:00:00+00:00,,,2023-02-13T00:00:00+00:00,,,6,67,0,,,0.61194,2.97557,,,9.37962,Research variant metrics are in R units; no paper trade PnL exists yet.
