pattern_id,sample_count,independent_sample_count,trade_count,ticker_count,sector_count,first_seen,last_seen,gross_pnl,net_pnl,avg_trade,median_trade,std_trade,winrate,avg_win,avg_loss,payoff_ratio,profit_factor,expectancy,max_drawdown,max_consecutive_losses,best_trade,worst_trade,top_5_trades_pnl,bottom_5_trades_pnl,pnl_without_best_trade,pnl_without_top_5_trades,pnl_without_worst_trade,sharpe,sortino,calmar,avg_holding_period_seconds,notes
PATTERN_000200,66,66,0,14,,2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,0,0,,0.59332,,0.56061,2.54285,0.89506,2.840983,3.62472,1.03226,8.0,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000410,67,67,0,6,,2021-09-10T00:00:00+00:00,2023-02-13T00:00:00+00:00,0,0,,0.68749,,0.61194,2.11134,0.91819,2.299459,3.62606,0.9357,9.37962,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000103,31,31,0,4,,2021-09-10T00:00:00+00:00,2023-02-13T00:00:00+00:00,0,0,,-1.0,,0.45161,2.7173,0.98576,2.756553,2.2701,0.68659,6.75794,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000349,100,100,0,4,,2021-08-19T00:00:00+00:00,2022-02-09T00:00:00+00:00,0,0,,0.29631,,0.52,2.14864,0.96319,2.230754,2.41664,0.65496,16.0,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000223,80,80,0,4,,2022-08-16T00:00:00+00:00,2026-05-01T00:00:00+00:00,0,0,,-0.01775,,0.5,2.47251,0.93931,2.632262,2.63226,0.7666,5.73238,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000258,99,99,0,20,,2021-08-16T00:00:00+00:00,2022-02-14T00:00:00+00:00,0,0,,0.74667,,0.54545,2.23895,0.97515,2.296006,2.81783,0.78784,10.12377,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000237,55,55,0,10,,2021-08-20T00:00:00+00:00,2024-05-17T00:00:00+00:00,0,0,,1.12033,,0.67273,1.9058,1.0,1.9058,3.91749,0.95481,6.0,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000104,59,59,0,18,,2021-12-14T00:00:00+00:00,2022-11-07T00:00:00+00:00,0,0,,0.71667,,0.54237,2.14629,0.92724,2.314708,2.74335,0.73976,4.5,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000238,48,48,0,8,,2021-09-10T00:00:00+00:00,2025-02-14T00:00:00+00:00,0,0,,1.5,,0.72917,1.28196,0.90625,1.414577,3.80847,0.68932,2.0,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000432,52,52,0,1,,2022-04-28T00:00:00+00:00,2024-05-17T00:00:00+00:00,0,0,,0.4139,,0.59615,1.62554,0.93938,1.730439,2.68218,0.60777,4.76266,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000105,63,63,0,15,,2021-08-16T00:00:00+00:00,2022-02-14T00:00:00+00:00,0,0,,0.70971,,0.60317,1.99565,0.93889,2.125542,3.23082,0.83115,8.47113,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000298,76,76,0,3,,2021-08-16T00:00:00+00:00,2022-02-17T00:00:00+00:00,0,0,,0.77938,,0.61842,2.04793,0.92854,2.205538,3.57449,0.91217,7.0,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000319,79,79,0,1,,2021-07-02T00:00:00+00:00,2026-02-26T00:00:00+00:00,0,0,,1.5,,0.67089,1.39215,1.0,1.39215,2.83784,0.60486,4.5,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000068,101,101,0,3,,2021-08-19T00:00:00+00:00,2023-05-23T00:00:00+00:00,0,0,,-0.21859,,0.47525,2.23948,0.91283,2.453337,2.22188,0.5853,13.82797,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000069,34,34,0,1,,2022-04-26T00:00:00+00:00,2023-05-15T00:00:00+00:00,0,0,,-0.96824,,0.47059,2.7743,0.99647,2.784128,2.47478,0.77801,8.0,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000013,49,49,0,7,,2021-10-01T00:00:00+00:00,2022-12-15T00:00:00+00:00,0,0,,0.71818,,0.59184,1.84256,0.99034,1.860533,2.69777,0.68627,8.0,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000387,40,40,0,5,,2021-09-10T00:00:00+00:00,2023-02-13T00:00:00+00:00,0,0,,-0.52089,,0.475,1.99467,0.95437,2.090038,1.89099,0.44643,8.75794,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000070,93,93,0,3,,2021-08-03T00:00:00+00:00,2025-11-17T00:00:00+00:00,0,0,,-1.0,,0.45161,2.6791,0.94978,2.820758,2.32297,0.68907,21.12818,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000259,58,58,0,9,,2021-08-19T00:00:00+00:00,2023-02-13T00:00:00+00:00,0,0,,-0.16564,,0.48276,2.1392,0.93631,2.284713,2.1324,0.54842,10.03416,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000014,73,73,0,15,,2021-12-17T00:00:00+00:00,2022-02-14T00:00:00+00:00,0,0,,0.74758,,0.58904,1.83282,0.94675,1.935907,2.77479,0.69053,5.40254,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000058,94,94,0,4,,2021-07-13T00:00:00+00:00,2024-04-23T00:00:00+00:00,0,0,,-0.90559,,0.44681,2.50701,0.9319,2.690214,2.17287,0.60464,14.53683,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000046,92,92,0,3,,2021-07-13T00:00:00+00:00,2021-09-23T00:00:00+00:00,0,0,,-1.0,,0.41304,2.50929,0.91585,2.739848,1.92804,0.49888,25.09034,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000143,84,84,0,8,,2021-08-19T00:00:00+00:00,2025-03-18T00:00:00+00:00,0,0,,0.50598,,0.54762,1.75885,0.95493,1.841863,2.22963,0.53119,12.0,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000080,80,80,0,1,,2021-08-11T00:00:00+00:00,2026-01-13T00:00:00+00:00,0,0,,-1.0,,0.425,2.621,0.91908,2.851765,2.10782,0.58545,11.49626,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000127,53,53,0,3,,2021-12-31T00:00:00+00:00,2024-10-01T00:00:00+00:00,0,0,,0.69656,,0.54717,1.72435,0.94256,1.829433,2.21056,0.51669,9.0,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000015,59,59,0,9,,2021-09-10T00:00:00+00:00,2023-02-13T00:00:00+00:00,0,0,,0.40893,,0.54237,1.96391,0.94555,2.077003,2.46163,0.63246,7.41532,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000035,30,30,0,13,,2021-09-20T00:00:00+00:00,2022-07-19T00:00:00+00:00,0,0,,1.5,,0.6,1.42229,1.0,1.42229,2.13344,0.45338,3.0,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000144,41,41,0,3,,2021-09-20T00:00:00+00:00,2023-09-22T00:00:00+00:00,0,0,,0.0,,0.4878,2.67351,0.8297,3.222261,3.22225,0.89942,6.24009,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
PATTERN_000260,96,96,0,12,,2021-09-15T00:00:00+00:00,2021-12-06T00:00:00+00:00,0,0,,0.13327,,0.5,2.26775,0.9108,2.489844,2.48984,0.67847,17.72573,,,,,,,,,,,,,No paper trades yet; trade PnL fields are zero/blank. Statistical edge fields are research R metrics.
