event_id,pattern_id,detected_at,market_timestamp,timezone,ticker,exchange,timeframe,bar_open_time,bar_close_time,signal_price,bid_at_signal,ask_at_signal,spread_at_signal,volume_at_signal,atr_at_signal,volatility_context,market_regime,sector,was_trade_triggered,trade_id,reason_not_traded,duplicate_group_id,is_independent_sample,data_available_at_signal,features_used_json,notes
EVT_PATTERN_000115_MATCH_000385,PATTERN_000115,2026-06-07T11:21:48.673771+00:00,2026-06-05T00:00:00+00:00,UTC,FIVN,SMART/IBKR,1d,,2026-06-05T00:00:00+00:00,23.52,,,,,,"{""atr_pct"": 0.07489067055393588, ""cumulative_return"": 0.06425339366515836, ""downside_vol"": 0.016116840438960434, ""last_quarter_return"": -0.10434120335110442, ""local_drawdown"": 0.10434120335110442, ""local_runup"": 0.2655421686746988, ""range_pct_mean"": 0.07410999695651684, ""slope"": 0.08835811247575957, ""upside_vol"": 0.024856303807982646, ""volume_rel_last"": 1.0701145131277563, ""volume_trend"": -0.012139904756894575}",not_persisted,not_persisted,false,,Current lab watchlist match; execution disabled/read-only and requires paper validation.,DUP_PATTERN_000115_FIVN_2026-06-05T00:00:00+00:00,pending_review,true,"{""atr_pct"": 0.07489067055393588, ""cumulative_return"": 0.06425339366515836, ""downside_vol"": 0.016116840438960434, ""last_quarter_return"": -0.10434120335110442, ""local_drawdown"": 0.10434120335110442, ""local_runup"": 0.2655421686746988, ""range_pct_mean"": 0.07410999695651684, ""slope"": 0.08835811247575957, ""upside_vol"": 0.024856303807982646, ""volume_rel_last"": 1.0701145131277563, ""volume_trend"": -0.012139904756894575}",similarity=0.530947; score=0.48328; status=lab_watchlist
EVT_PATTERN_000002_MATCH_000384,PATTERN_000002,2026-06-07T11:21:48.673770+00:00,2026-06-05T00:00:00+00:00,UTC,ALGM,SMART/IBKR,1d,,2026-06-05T00:00:00+00:00,46.39,,,,,,"{""atr_pct"": 0.07915806978104885, ""cumulative_return"": -0.052298263534218625, ""downside_vol"": 0.032320855905956763, ""last_quarter_return"": -0.01570125185656701, ""local_drawdown"": 0.15526046986721145, ""local_runup"": 0.2967351874244255, ""range_pct_mean"": 0.06346013445932976, ""slope"": 0.05804465197723627, ""upside_vol"": 0.027924158765062653, ""volume_rel_last"": 0.9834604984287072, ""volume_trend"": -0.0270803854626701}",not_persisted,not_persisted,false,,Current lab watchlist match; execution disabled/read-only and requires paper validation.,DUP_PATTERN_000002_ALGM_2026-06-05T00:00:00+00:00,pending_review,true,"{""atr_pct"": 0.07915806978104885, ""cumulative_return"": -0.052298263534218625, ""downside_vol"": 0.032320855905956763, ""last_quarter_return"": -0.01570125185656701, ""local_drawdown"": 0.15526046986721145, ""local_runup"": 0.2967351874244255, ""range_pct_mean"": 0.06346013445932976, ""slope"": 0.05804465197723627, ""upside_vol"": 0.027924158765062653, ""volume_rel_last"": 0.9834604984287072, ""volume_trend"": -0.0270803854626701}",similarity=0.470147; score=0.484922; status=lab_watchlist
EVT_PATTERN_000002_MATCH_000383,PATTERN_000002,2026-06-07T11:21:48.673769+00:00,2026-06-05T00:00:00+00:00,UTC,SKYW,SMART/IBKR,1d,,2026-06-05T00:00:00+00:00,84.45,,,,,,"{""atr_pct"": 0.034686627759451895, ""cumulative_return"": -0.04284257055423324, ""downside_vol"": 0.013972669431080427, ""last_quarter_return"": 0.031135531135531025, ""local_drawdown"": 0.1114133514677547, ""local_runup"": 0.10688775510204085, ""range_pct_mean"": 0.029776436362363313, ""slope"": -0.00926474636097215, ""upside_vol"": 0.013510872749964892, ""volume_rel_last"": 0.9017467399951575, ""volume_trend"": -0.006308582497022946}",not_persisted,not_persisted,false,,Current lab watchlist match; execution disabled/read-only and requires paper validation.,DUP_PATTERN_000002_SKYW_2026-06-05T00:00:00+00:00,pending_review,true,"{""atr_pct"": 0.034686627759451895, ""cumulative_return"": -0.04284257055423324, ""downside_vol"": 0.013972669431080427, ""last_quarter_return"": 0.031135531135531025, ""local_drawdown"": 0.1114133514677547, ""local_runup"": 0.10688775510204085, ""range_pct_mean"": 0.029776436362363313, ""slope"": -0.00926474636097215, ""upside_vol"": 0.013510872749964892, ""volume_rel_last"": 0.9017467399951575, ""volume_trend"": -0.006308582497022946}",similarity=0.478059; score=0.489274; status=lab_watchlist
EVT_PATTERN_000002_MATCH_000382,PATTERN_000002,2026-06-07T11:21:48.673768+00:00,2026-06-05T00:00:00+00:00,UTC,APPF,SMART/IBKR,1d,,2026-06-05T00:00:00+00:00,166.94,,,,,,"{""atr_pct"": 0.05056136507556178, ""cumulative_return"": 0.002100966444564367, ""downside_vol"": 0.015379448161768618, ""last_quarter_return"": -0.06893474623535978, ""local_drawdown"": 0.09814514676751301, ""local_runup"": 0.19342385516506932, ""range_pct_mean"": 0.046705543829359514, ""slope"": 0.042289453148448335, ""upside_vol"": 0.021691479474126665, ""volume_rel_last"": 0.9703430047455998, ""volume_trend"": 0.046663036668983665}",not_persisted,not_persisted,false,,Current lab watchlist match; execution disabled/read-only and requires paper validation.,DUP_PATTERN_000002_APPF_2026-06-05T00:00:00+00:00,pending_review,true,"{""atr_pct"": 0.05056136507556178, ""cumulative_return"": 0.002100966444564367, ""downside_vol"": 0.015379448161768618, ""last_quarter_return"": -0.06893474623535978, ""local_drawdown"": 0.09814514676751301, ""local_runup"": 0.19342385516506932, ""range_pct_mean"": 0.046705543829359514, ""slope"": 0.042289453148448335, ""upside_vol"": 0.021691479474126665, ""volume_rel_last"": 0.9703430047455998, ""volume_trend"": 0.046663036668983665}",similarity=0.479852; score=0.49026; status=lab_watchlist
EVT_PATTERN_000090_MATCH_000381,PATTERN_000090,2026-06-07T11:21:48.673767+00:00,2026-06-05T00:00:00+00:00,UTC,AAON,SMART/IBKR,1d,,2026-06-05T00:00:00+00:00,132.62,,,,,,"{""atr_pct"": 0.059439429519357156, ""cumulative_return"": -0.050408134039810926, ""downside_vol"": 0.020780608377510244, ""last_quarter_return"": -0.04355978652819836, ""local_drawdown"": 0.10543001686340638, ""local_runup"": 0.138021033238658, ""range_pct_mean"": 0.05857815679935906, ""slope"": 0.019458480800310984, ""upside_vol"": 0.014728643638816036, ""volume_rel_last"": 1.118838371067936, ""volume_trend"": -0.04401791022773541}",not_persisted,not_persisted,false,,Current lab watchlist match; execution disabled/read-only and requires paper validation.,DUP_PATTERN_000090_AAON_2026-06-05T00:00:00+00:00,pending_review,true,"{""atr_pct"": 0.059439429519357156, ""cumulative_return"": -0.050408134039810926, ""downside_vol"": 0.020780608377510244, ""last_quarter_return"": -0.04355978652819836, ""local_drawdown"": 0.10543001686340638, ""local_runup"": 0.138021033238658, ""range_pct_mean"": 0.05857815679935906, ""slope"": 0.019458480800310984, ""upside_vol"": 0.014728643638816036, ""volume_rel_last"": 1.118838371067936, ""volume_trend"": -0.04401791022773541}",similarity=0.533534; score=0.490508; status=lab_watchlist
EVT_PATTERN_000115_MATCH_000380,PATTERN_000115,2026-06-07T11:21:48.673766+00:00,2026-06-05T00:00:00+00:00,UTC,APPF,SMART/IBKR,1d,,2026-06-05T00:00:00+00:00,166.94,,,,,,"{""atr_pct"": 0.05056136507556178, ""cumulative_return"": 0.002100966444564367, ""downside_vol"": 0.015379448161768618, ""last_quarter_return"": -0.06893474623535978, ""local_drawdown"": 0.09814514676751301, ""local_runup"": 0.19342385516506932, ""range_pct_mean"": 0.046705543829359514, ""slope"": 0.042289453148448335, ""upside_vol"": 0.021691479474126665, ""volume_rel_last"": 0.9703430047455998, ""volume_trend"": 0.046663036668983665}",not_persisted,not_persisted,false,,Current lab watchlist match; execution disabled/read-only and requires paper validation.,DUP_PATTERN_000115_APPF_2026-06-05T00:00:00+00:00,pending_review,true,"{""atr_pct"": 0.05056136507556178, ""cumulative_return"": 0.002100966444564367, ""downside_vol"": 0.015379448161768618, ""last_quarter_return"": -0.06893474623535978, ""local_drawdown"": 0.09814514676751301, ""local_runup"": 0.19342385516506932, ""range_pct_mean"": 0.046705543829359514, ""slope"": 0.042289453148448335, ""upside_vol"": 0.021691479474126665, ""volume_rel_last"": 0.9703430047455998, ""volume_trend"": 0.046663036668983665}",similarity=0.548309; score=0.492829; status=lab_watchlist
EVT_PATTERN_000002_MATCH_000379,PATTERN_000002,2026-06-07T11:21:48.673765+00:00,2026-06-05T00:00:00+00:00,UTC,SOUN,SMART/IBKR,1d,,2026-06-05T00:00:00+00:00,7.39,,,,,,"{""atr_pct"": 0.06973806301952444, ""cumulative_return"": -0.1677927927927929, ""downside_vol"": 0.02684915771739503, ""last_quarter_return"": -0.20108108108108114, ""local_drawdown"": 0.2010810810810811, ""local_runup"": 0.14764267990074442, ""range_pct_mean"": 0.05861469167563901, ""slope"": -0.014832689832689825, ""upside_vol"": 0.018159872540224598, ""volume_rel_last"": 1.1462999250673696, ""volume_trend"": -0.009795043362251319}",not_persisted,not_persisted,false,,Current lab watchlist match; execution disabled/read-only and requires paper validation.,DUP_PATTERN_000002_SOUN_2026-06-05T00:00:00+00:00,pending_review,true,"{""atr_pct"": 0.06973806301952444, ""cumulative_return"": -0.1677927927927929, ""downside_vol"": 0.02684915771739503, ""last_quarter_return"": -0.20108108108108114, ""local_drawdown"": 0.2010810810810811, ""local_runup"": 0.14764267990074442, ""range_pct_mean"": 0.05861469167563901, ""slope"": -0.014832689832689825, ""upside_vol"": 0.018159872540224598, ""volume_rel_last"": 1.1462999250673696, ""volume_trend"": -0.009795043362251319}",similarity=0.48472; score=0.492937; status=lab_watchlist
EVT_PATTERN_000028_MATCH_000378,PATTERN_000028,2026-06-07T11:21:48.673764+00:00,2026-06-05T00:00:00+00:00,UTC,SKYW,SMART/IBKR,1d,,2026-06-05T00:00:00+00:00,84.45,,,,,,"{""atr_pct"": 0.034686627759451895, ""cumulative_return"": -0.10140455416045968, ""downside_vol"": 0.015348267184660067, ""last_quarter_return"": 0.07716836734693877, ""local_drawdown"": 0.21047331319234636, ""local_runup"": 0.12368450831730216, ""range_pct_mean"": 0.033160127302560106, ""slope"": -0.07107044051925943, ""upside_vol"": 0.014913899570543338, ""volume_rel_last"": 0.8969750350939969, ""volume_trend"": 0.01008920756378846}",not_persisted,not_persisted,false,,Current lab watchlist match; execution disabled/read-only and requires paper validation.,DUP_PATTERN_000028_SKYW_2026-06-05T00:00:00+00:00,pending_review,true,"{""atr_pct"": 0.034686627759451895, ""cumulative_return"": -0.10140455416045968, ""downside_vol"": 0.015348267184660067, ""last_quarter_return"": 0.07716836734693877, ""local_drawdown"": 0.21047331319234636, ""local_runup"": 0.12368450831730216, ""range_pct_mean"": 0.033160127302560106, ""slope"": -0.07107044051925943, ""upside_vol"": 0.014913899570543338, ""volume_rel_last"": 0.8969750350939969, ""volume_trend"": 0.01008920756378846}",similarity=0.564031; score=0.495002; status=lab_watchlist
EVT_PATTERN_000115_MATCH_000377,PATTERN_000115,2026-06-07T11:21:48.673763+00:00,2026-06-05T00:00:00+00:00,UTC,CVLT,SMART/IBKR,1d,,2026-06-05T00:00:00+00:00,118.68,,,,,,"{""atr_pct"": 0.040848139053396876, ""cumulative_return"": 0.1293177276620041, ""downside_vol"": 0.010295026231575301, ""last_quarter_return"": -0.030312934063240426, ""local_drawdown"": 0.050242649157864694, ""local_runup"": 0.22622983668971042, ""range_pct_mean"": 0.04230626760684825, ""slope"": 0.1056957981594008, ""upside_vol"": 0.015840318960193604, ""volume_rel_last"": 0.9790887743188109, ""volume_trend"": -0.018516217538217652}",not_persisted,not_persisted,false,,Current lab watchlist match; execution disabled/read-only and requires paper validation.,DUP_PATTERN_000115_CVLT_2026-06-05T00:00:00+00:00,pending_review,true,"{""atr_pct"": 0.040848139053396876, ""cumulative_return"": 0.1293177276620041, ""downside_vol"": 0.010295026231575301, ""last_quarter_return"": -0.030312934063240426, ""local_drawdown"": 0.050242649157864694, ""local_runup"": 0.22622983668971042, ""range_pct_mean"": 0.04230626760684825, ""slope"": 0.1056957981594008, ""upside_vol"": 0.015840318960193604, ""volume_rel_last"": 0.9790887743188109, ""volume_trend"": -0.018516217538217652}",similarity=0.553373; score=0.495614; status=lab_watchlist
EVT_PATTERN_000090_MATCH_000376,PATTERN_000090,2026-06-07T11:21:48.673762+00:00,2026-06-05T00:00:00+00:00,UTC,CALM,SMART/IBKR,1d,,2026-06-05T00:00:00+00:00,75.65,,,,,,"{""atr_pct"": 0.025587763195165727, ""cumulative_return"": -0.0057826258378236295, ""downside_vol"": 0.007560562845073635, ""last_quarter_return"": 0.006787330316742057, ""local_drawdown"": 0.063514023393284, ""local_runup"": 0.05381047051027177, ""range_pct_mean"": 0.029106493877036822, ""slope"": -0.02075737378668124, ""upside_vol"": 0.009154151325569517, ""volume_rel_last"": 1.2708361011811888, ""volume_trend"": -0.059746857232899624}",not_persisted,not_persisted,false,,Current lab watchlist match; execution disabled/read-only and requires paper validation.,DUP_PATTERN_000090_CALM_2026-06-05T00:00:00+00:00,pending_review,true,"{""atr_pct"": 0.025587763195165727, ""cumulative_return"": -0.0057826258378236295, ""downside_vol"": 0.007560562845073635, ""last_quarter_return"": 0.006787330316742057, ""local_drawdown"": 0.063514023393284, ""local_runup"": 0.05381047051027177, ""range_pct_mean"": 0.029106493877036822, ""slope"": -0.02075737378668124, ""upside_vol"": 0.009154151325569517, ""volume_rel_last"": 1.2708361011811888, ""volume_trend"": -0.059746857232899624}",similarity=0.542877; score=0.495646; status=lab_watchlist
