pattern_id,ticker,trade_count,event_count,net_pnl,winrate,profit_factor,avg_trade,max_drawdown,first_seen,last_seen,notes
PATTERN_000005,ACMR,0,2,0,1.000000,8.000000,4.000000,0.000000,2023-08-09T00:00:00+00:00,2024-02-08T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000005,ARWR,0,1,0,0.000000,0.000000,-0.044600,0.044600,2021-08-24T00:00:00+00:00,2021-08-24T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000005,CARG,0,2,0,0.000000,0.000000,-1.000000,2.000000,2022-10-03T00:00:00+00:00,2022-10-11T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000005,CRDO,0,2,0,0.500000,4.000000,1.500000,1.000000,2022-09-13T00:00:00+00:00,2023-11-03T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000005,CROX,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-12-14T00:00:00+00:00,2021-12-14T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000005,GH,0,1,0,0.000000,0.000000,-1.000000,1.000000,2023-11-02T00:00:00+00:00,2023-11-02T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000005,INSP,0,1,0,1.000000,4.000000,4.000000,0.000000,2022-10-14T00:00:00+00:00,2022-10-14T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000006,AAON,0,2,0,1.000000,5.000000,2.500000,0.000000,2022-07-18T00:00:00+00:00,2022-07-26T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000006,ACMR,0,2,0,1.000000,5.000000,2.500000,0.000000,2022-07-26T00:00:00+00:00,2022-07-29T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000006,AEO,0,1,0,0.000000,0.000000,-1.000000,1.000000,2023-11-02T00:00:00+00:00,2023-11-02T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000006,ALGM,0,1,0,1.000000,2.500000,2.500000,0.000000,2023-06-22T00:00:00+00:00,2023-06-22T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
