symbol,name,tier,benchmark_only,operational_eligible,product_type,security_type,source,source_rank,cap_segment,classification_status,exclusion_reason
AMD,,research,False,True,STK,stock,fallback_liquid_stock_list,52,large_liquid_fallback,stock_only_seed_or_fallback,
CRM,,research,False,True,STK,stock,fallback_liquid_stock_list,53,large_liquid_fallback,stock_only_seed_or_fallback,
ADBE,,research,False,True,STK,stock,fallback_liquid_stock_list,54,large_liquid_fallback,stock_only_seed_or_fallback,
ORCL,,research,False,True,STK,stock,fallback_liquid_stock_list,55,large_liquid_fallback,stock_only_seed_or_fallback,
NOW,,research,False,True,STK,stock,fallback_liquid_stock_list,56,large_liquid_fallback,stock_only_seed_or_fallback,
QCOM,,research,False,True,STK,stock,fallback_liquid_stock_list,57,large_liquid_fallback,stock_only_seed_or_fallback,
INTC,,research,False,True,STK,stock,fallback_liquid_stock_list,58,large_liquid_fallback,stock_only_seed_or_fallback,
TXN,,research,False,True,STK,stock,fallback_liquid_stock_list,59,large_liquid_fallback,stock_only_seed_or_fallback,
MU,,research,False,True,STK,stock,fallback_liquid_stock_list,60,large_liquid_fallback,stock_only_seed_or_fallback,
AMAT,,research,False,True,STK,stock,fallback_liquid_stock_list,61,large_liquid_fallback,stock_only_seed_or_fallback,
LRCX,,research,False,True,STK,stock,fallback_liquid_stock_list,62,large_liquid_fallback,stock_only_seed_or_fallback,
KLAC,,research,False,True,STK,stock,fallback_liquid_stock_list,63,large_liquid_fallback,stock_only_seed_or_fallback,
PANW,,research,False,True,STK,stock,fallback_liquid_stock_list,64,large_liquid_fallback,stock_only_seed_or_fallback,
CRWD,,research,False,True,STK,stock,fallback_liquid_stock_list,65,large_liquid_fallback,stock_only_seed_or_fallback,
SNOW,,research,False,True,STK,stock,fallback_liquid_stock_list,66,large_liquid_fallback,stock_only_seed_or_fallback,
SHOP,,research,False,True,STK,stock,fallback_liquid_stock_list,67,large_liquid_fallback,stock_only_seed_or_fallback,
UBER,,research,False,True,STK,stock,fallback_liquid_stock_list,68,large_liquid_fallback,stock_only_seed_or_fallback,
ABNB,,research,False,True,STK,stock,fallback_liquid_stock_list,69,large_liquid_fallback,stock_only_seed_or_fallback,
BKNG,,research,False,True,STK,stock,fallback_liquid_stock_list,70,large_liquid_fallback,stock_only_seed_or_fallback,
MELI,,research,False,True,STK,stock,fallback_liquid_stock_list,71,large_liquid_fallback,stock_only_seed_or_fallback,
PDD,,research,False,True,STK,stock,fallback_liquid_stock_list,72,large_liquid_fallback,stock_only_seed_or_fallback,
PYPL,,research,False,True,STK,stock,fallback_liquid_stock_list,73,large_liquid_fallback,stock_only_seed_or_fallback,
COIN,,research,False,True,STK,stock,fallback_liquid_stock_list,74,large_liquid_fallback,stock_only_seed_or_fallback,
HOOD,,research,False,True,STK,stock,fallback_liquid_stock_list,75,large_liquid_fallback,stock_only_seed_or_fallback,
JPM,,research,False,True,STK,stock,fallback_liquid_stock_list,76,large_liquid_fallback,stock_only_seed_or_fallback,
BAC,,research,False,True,STK,stock,fallback_liquid_stock_list,77,large_liquid_fallback,stock_only_seed_or_fallback,
WFC,,research,False,True,STK,stock,fallback_liquid_stock_list,78,large_liquid_fallback,stock_only_seed_or_fallback,
GS,,research,False,True,STK,stock,fallback_liquid_stock_list,79,large_liquid_fallback,stock_only_seed_or_fallback,
MS,,research,False,True,STK,stock,fallback_liquid_stock_list,80,large_liquid_fallback,stock_only_seed_or_fallback,
V,,research,False,True,STK,stock,fallback_liquid_stock_list,81,large_liquid_fallback,stock_only_seed_or_fallback,
MA,,research,False,True,STK,stock,fallback_liquid_stock_list,82,large_liquid_fallback,stock_only_seed_or_fallback,
AXP,,research,False,True,STK,stock,fallback_liquid_stock_list,83,large_liquid_fallback,stock_only_seed_or_fallback,
C,,research,False,True,STK,stock,fallback_liquid_stock_list,84,large_liquid_fallback,stock_only_seed_or_fallback,
SCHW,,research,False,True,STK,stock,fallback_liquid_stock_list,85,large_liquid_fallback,stock_only_seed_or_fallback,
BLK,,research,False,True,STK,stock,fallback_liquid_stock_list,86,large_liquid_fallback,stock_only_seed_or_fallback,
UNH,,research,False,True,STK,stock,fallback_liquid_stock_list,87,large_liquid_fallback,stock_only_seed_or_fallback,
LLY,,research,False,True,STK,stock,fallback_liquid_stock_list,88,large_liquid_fallback,stock_only_seed_or_fallback,
JNJ,,research,False,True,STK,stock,fallback_liquid_stock_list,89,large_liquid_fallback,stock_only_seed_or_fallback,
MRK,,research,False,True,STK,stock,fallback_liquid_stock_list,90,large_liquid_fallback,stock_only_seed_or_fallback,
ABBV,,research,False,True,STK,stock,fallback_liquid_stock_list,91,large_liquid_fallback,stock_only_seed_or_fallback,
TMO,,research,False,True,STK,stock,fallback_liquid_stock_list,92,large_liquid_fallback,stock_only_seed_or_fallback,
DHR,,research,False,True,STK,stock,fallback_liquid_stock_list,93,large_liquid_fallback,stock_only_seed_or_fallback,
ISRG,,research,False,True,STK,stock,fallback_liquid_stock_list,94,large_liquid_fallback,stock_only_seed_or_fallback,
VRTX,,research,False,True,STK,stock,fallback_liquid_stock_list,95,large_liquid_fallback,stock_only_seed_or_fallback,
REGN,,research,False,True,STK,stock,fallback_liquid_stock_list,96,large_liquid_fallback,stock_only_seed_or_fallback,
PFE,,research,False,True,STK,stock,fallback_liquid_stock_list,97,large_liquid_fallback,stock_only_seed_or_fallback,
AMGN,,research,False,True,STK,stock,fallback_liquid_stock_list,98,large_liquid_fallback,stock_only_seed_or_fallback,
GILD,,research,False,True,STK,stock,fallback_liquid_stock_list,99,large_liquid_fallback,stock_only_seed_or_fallback,
BSX,,research,False,True,STK,stock,fallback_liquid_stock_list,100,large_liquid_fallback,stock_only_seed_or_fallback,
MDT,,research,False,True,STK,stock,fallback_liquid_stock_list,101,large_liquid_fallback,stock_only_seed_or_fallback,
PG,,research,False,True,STK,stock,fallback_liquid_stock_list,102,large_liquid_fallback,stock_only_seed_or_fallback,
KO,,research,False,True,STK,stock,fallback_liquid_stock_list,103,large_liquid_fallback,stock_only_seed_or_fallback,
PEP,,research,False,True,STK,stock,fallback_liquid_stock_list,104,large_liquid_fallback,stock_only_seed_or_fallback,
WMT,,research,False,True,STK,stock,fallback_liquid_stock_list,105,large_liquid_fallback,stock_only_seed_or_fallback,
HD,,research,False,True,STK,stock,fallback_liquid_stock_list,106,large_liquid_fallback,stock_only_seed_or_fallback,
