trade_id,policy,variant,symbol,signal_date,source_signal_date,entry_date,exit_date,entry_price,exit_price,holding_days,truncated,gross_return_pct,net_return_x1_pct,net_return_x2_pct,net_return_x3_pct,cost_bps_x1,cost_bps_x2,cost_bps_x3,entry_model,exit_model
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00017,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,AEO,2024-04-30,2024-04-30,2024-05-01,2024-05-15,22.62,22.69,10,False,0.30946065428825165,0.20946065428825164,0.10946065428825164,0.00946065428825164,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00018,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,LLY,2024-04-30,2024-04-30,2024-05-01,2024-05-15,762.78,776.18,10,False,1.7567319541676563,1.6567319541676562,1.5567319541676563,1.4567319541676564,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00019,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,ADP,2024-05-01,2024-05-01,2024-05-02,2024-05-16,233.16,236.99,10,False,1.6426488248413085,1.5426488248413084,1.4426488248413085,1.3426488248413087,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00020,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,SCHW,2024-05-01,2024-05-01,2024-05-02,2024-05-16,73.16,76.0,10,False,3.88190267905959,3.78190267905959,3.68190267905959,3.58190267905959,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00021,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,OLLI,2024-05-03,2024-05-03,2024-05-06,2024-05-20,78.51,73.17,10,False,-6.801681314482233,-6.901681314482233,-7.001681314482234,-7.101681314482233,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00022,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,GS,2024-05-06,2024-05-06,2024-05-07,2024-05-21,424.85,448.94,10,False,5.670236554077901,5.570236554077901,5.470236554077901,5.3702365540779,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00023,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,MS,2024-05-06,2024-05-06,2024-05-07,2024-05-21,89.81,96.07,10,False,6.970270571205872,6.870270571205872,6.770270571205872,6.670270571205872,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00024,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,RTX,2024-05-07,2024-05-07,2024-05-08,2024-05-22,98.94,102.49,10,False,3.588033151404879,3.488033151404879,3.388033151404879,3.288033151404879,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00025,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,VRTX,2024-05-07,2024-05-07,2024-05-08,2024-05-22,413.33,447.53,10,False,8.274260276292544,8.174260276292545,8.074260276292545,7.974260276292544,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00026,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,BAC,2024-05-08,2024-05-08,2024-05-09,2024-05-23,35.63,37.19,10,False,4.378332865562706,4.278332865562707,4.178332865562706,4.078332865562706,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00027,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,WFC,2024-05-08,2024-05-08,2024-05-09,2024-05-23,58.04,57.03,10,False,-1.740179186767743,-1.840179186767743,-1.9401791867677431,-2.040179186767743,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00028,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,EOG,2024-05-09,2024-05-09,2024-05-10,2024-05-24,122.54,115.47,10,False,-5.769544638485402,-5.869544638485403,-5.969544638485402,-6.069544638485402,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00029,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,MDT,2024-05-09,2024-05-09,2024-05-10,2024-05-24,77.12,76.46,10,False,-0.8558091286307246,-0.9558091286307246,-1.0558091286307245,-1.1558091286307244,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00030,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,BLK,2024-05-10,2024-05-10,2024-05-13,2024-05-28,760.89,734.61,10,False,-3.4538500965973995,-3.5538500965973996,-3.6538500965973997,-3.7538500965973998,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00031,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,DUK,2024-05-10,2024-05-10,2024-05-13,2024-05-28,94.68,94.21,10,False,-0.49640895648501715,-0.5964089564850171,-0.6964089564850171,-0.7964089564850171,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00032,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,FDX,2024-05-13,2024-05-13,2024-05-14,2024-05-29,205.43,188.43,10,False,-8.27532492819939,-8.37532492819939,-8.47532492819939,-8.57532492819939,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00033,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,UNH,2024-05-13,2024-05-13,2024-05-14,2024-05-29,489.79,461.37,10,False,-5.802486780048599,-5.9024867800486,-6.002486780048599,-6.102486780048599,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00034,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,DHR,2024-05-14,2024-05-14,2024-05-15,2024-05-30,256.47,249.31,10,False,-2.7917495223612976,-2.8917495223612977,-2.9917495223612978,-3.0917495223612974,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00035,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,LMT,2024-05-14,2024-05-14,2024-05-15,2024-05-30,439.4,434.37,10,False,-1.1447428311333607,-1.2447428311333608,-1.3447428311333607,-1.4447428311333605,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00036,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,PEP,2024-05-15,2024-05-15,2024-05-16,2024-05-31,165.41,159.22,10,False,-3.742216310984825,-3.842216310984825,-3.942216310984825,-4.042216310984825,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00037,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,PG,2024-05-15,2024-05-15,2024-05-16,2024-05-31,158.39,156.13,10,False,-1.4268577561714735,-1.5268577561714736,-1.6268577561714737,-1.7268577561714733,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00038,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,MRK,2024-05-16,2024-05-16,2024-05-17,2024-06-03,121.6,119.49,10,False,-1.7351973684210487,-1.8351973684210487,-1.9351973684210488,-2.0351973684210485,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00039,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,SO,2024-05-16,2024-05-16,2024-05-17,2024-06-03,73.68,75.29,10,False,2.185124864277954,2.085124864277954,1.985124864277954,1.8851248642779543,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00040,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,CMG,2024-05-17,2024-05-17,2024-05-20,2024-06-04,64.4,61.58,10,False,-4.378881987577654,-4.478881987577655,-4.578881987577654,-4.678881987577654,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00041,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,UNP,2024-05-17,2024-05-17,2024-05-20,2024-06-04,232.82,217.6,10,False,-6.53723906880852,-6.637239068808521,-6.73723906880852,-6.83723906880852,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00042,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,AXP,2024-05-20,2024-05-20,2024-05-21,2024-06-05,236.5,229.03,10,False,-3.1585623678646924,-3.2585623678646924,-3.3585623678646925,-3.4585623678646926,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00043,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,TMO,2024-05-20,2024-05-20,2024-05-21,2024-06-05,589.51,570.94,10,False,-3.1500737900968523,-3.2500737900968524,-3.3500737900968525,-3.4500737900968526,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00044,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,CVX,2024-05-21,2024-05-21,2024-05-22,2024-06-06,146.46,143.16,10,False,-2.253174928308077,-2.353174928308077,-2.4531749283080773,-2.553174928308077,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00045,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,KO,2024-05-21,2024-05-21,2024-05-22,2024-06-06,58.79,60.14,10,False,2.2963088960707534,2.1963088960707533,2.096308896070753,1.9963088960707536,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00046,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,HON,2024-05-22,2024-05-22,2024-05-23,2024-06-07,191.17,197.63,10,False,3.379191295705408,3.279191295705408,3.179191295705408,3.0791912957054084,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00047,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,MSFT,2024-05-22,2024-05-22,2024-05-23,2024-06-07,426.26,417.29,10,False,-2.104349458077226,-2.204349458077226,-2.304349458077226,-2.4043494580772258,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00048,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,ADP,2024-05-23,2024-05-23,2024-05-24,2024-06-10,238.45,233.97,10,False,-1.8788005871251845,-1.9788005871251846,-2.0788005871251847,-2.1788005871251843,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00049,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,RTX,2024-05-23,2024-05-23,2024-05-24,2024-06-10,102.03,103.24,10,False,1.1859257081250574,1.0859257081250573,0.9859257081250574,0.8859257081250574,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00050,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,AAPL,2024-05-24,2024-05-24,2024-05-28,2024-06-11,189.87,205.37,10,False,8.163480275978308,8.063480275978307,7.963480275978307,7.863480275978308,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00051,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,REGN,2024-05-24,2024-05-24,2024-05-28,2024-06-11,966.87,1002.26,10,False,3.6602645650397614,3.5602645650397613,3.460264565039761,3.360264565039761,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00052,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,APD,2024-05-28,2024-05-28,2024-05-29,2024-06-12,247.79,267.17,10,False,7.8211388675895055,7.721138867589506,7.621138867589505,7.521138867589505,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00053,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,GS,2024-05-28,2024-05-28,2024-05-29,2024-06-12,434.06,430.81,10,False,-0.7487444132147636,-0.8487444132147637,-0.9487444132147635,-1.0487444132147634,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00054,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,DUK,2024-05-29,2024-05-29,2024-05-30,2024-06-13,93.84,94.28,10,False,0.4688832054560832,0.3688832054560832,0.2688832054560832,0.16888320545608318,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
