symbol,trades,net_x2_sum_pct,net_x2_expectancy_pct
SOUN,22,174.76900293617962,7.944045588008165
GH,28,100.65682857403546,3.594886734786981
ACMR,17,82.67302366604177,4.863119039178928
CRDO,26,74.5764829631997,2.8683262678153727
AEO,11,50.17411855064029,4.561283504603662
ARWR,20,44.55467623503888,2.227733811751944
BROS,21,40.95911255069029,1.950433930985252
AMBA,28,40.66028134582528,1.4521529052080457
SEDG,16,35.12331828693017,2.1952073929331357
NXT,20,33.425863436204985,1.6712931718102493
HIMS,20,31.085014988202886,1.5542507494101443
FN,29,29.713512919277107,1.024603893768176
LRN,22,29.096761069953004,1.3225800486342274
CVLT,21,27.044225244510866,1.2878202497386126
AVGO,30,25.37067363584852,0.8456891211949507
AX,22,18.957058279792726,0.8616844672633057
CALM,23,17.368282052318488,0.7551426979268908
NVDA,24,17.07526673492653,0.7114694472886054
ALGM,17,14.754378347171254,0.8679046086571326
GOOG,28,14.618403101194037,0.5220858250426442
GOOGL,25,13.07741691115425,0.52309667644617
UPST,12,1.116244978201351,0.09302041485011259
FOUR,15,0.02064011073507155,0.0013760073823381033
WING,12,-1.1639181383705546,-0.09699317819754621
MNDY,16,-7.133392722169008,-0.445837045135563
APPF,14,-7.307520716008908,-0.5219657654292077
ENPH,10,-8.641659389705245,-0.8641659389705245
COST,23,-9.39689811349271,-0.40856078754316133
META,21,-11.040577546432296,-0.5257417879253474
PATH,9,-11.28590503643099,-1.2539894484923322
SG,15,-12.411489666378621,-0.8274326444252414
TSLA,17,-13.967019215922637,-0.8215893656425081
IOVA,9,-15.841108171037554,-1.7601231301152838
ZETA,20,-16.034029730540077,-0.8017014865270038
INSP,10,-17.84763665670931,-1.784763665670931
OLLI,15,-17.854909283246855,-1.1903272855497904
AAPL,21,-19.862582721128927,-0.9458372724347108
MSFT,13,-20.39878940306904,-1.569137646389926
FIVN,5,-20.475692256790357,-4.095138451358071
SKYW,19,-23.82632335874657,-1.2540170188813984
CARG,25,-24.053626148128526,-0.962145045925141
TMDX,24,-29.090056724535962,-1.212085696855665
AMZN,27,-29.20873665738155,-1.0818050613845018
FRPT,16,-29.44942467385603,-1.8405890421160018
PRVA,15,-30.987232816122898,-2.06581552107486
FUBO,14,-34.86927761352701,-2.490662686680501
DLO,21,-38.197107103130456,-1.8189098620538313
CROX,11,-39.02022773034243,-3.5472934300311296
AAON,21,-40.416271497824056,-1.9245843570392407
RXRX,5,-61.26427420598809,-12.252854841197617
