trade_id,symbol,signal_date,entry_date,signal_close_to_next_open_pct,next_open_to_close_day1_pct,day1_to_day3_pct,day3_to_day5_pct,day5_to_day10_pct,mae_pct,mfe_pct,net_return_x2_pct
DSS-BO-001-00001,ZETA,2024-04-26,2024-04-29,0.2327385570209506,-2.1671826625386914,-0.2373417721519111,3.0927835051546504,21.38461538461538,-5.108359133126939,24.535603715170275,21.936222910216706
DSS-BO-001-00002,AX,2024-05-01,2024-05-02,2.2342342342342336,0.9693338033133436,3.351370221679173,2.3644654619152217,0.8744431611945158,-2.32640112795206,11.032781106802947,7.55467042650686
DSS-BO-001-00003,OLLI,2024-05-03,2024-05-06,2.2265625000000178,0.21653292574195238,0.05083884087442314,-5.360772357723576,-1.785234899328858,-8.049929945229916,2.3691249522353797,-7.001681314482234
DSS-BO-001-00004,FRPT,2024-05-06,2024-05-07,1.4459224985540864,-1.694086984850951,-0.505385252692625,5.945540844366715,-0.4401477638921625,-3.7221045772927286,5.220719986968558,2.968268447629918
DSS-BO-001-00005,BROS,2024-05-10,2024-05-13,-2.8587288370802155,0.5142857142857116,7.3905628197839635,-2.6733721545791345,-3.9978243132989033,-3.1428571428571472,9.742857142857142,0.6571428571428453
DSS-BO-001-00006,CARG,2024-05-10,2024-05-13,0.28901734104045396,-0.9880609304240395,-1.039501039501034,-0.9663865546218453,-0.42426813746287984,-4.487443392342527,2.8406751749691317,-3.5758748456154787
DSS-BO-001-00007,RXRX,2024-05-13,2024-05-14,2.6371308016877704,3.288797533401855,-6.26865671641792,0.9554140127388422,-9.779179810725546,-14.080164439876675,9.660842754367938,-12.0191161356629
DSS-BO-001-00008,MNDY,2024-05-15,2024-05-16,0.9604929322218236,2.4950637228504657,5.713660245183871,1.3543176641126475,-7.686335403726707,-1.830910070005387,11.757314665230645,1.1776700771854112
DSS-BO-001-00009,GH,2024-05-16,2024-05-17,0.9908536585365946,-4.3018867924528355,-11.238170347003152,13.371834740115496,7.405956112852663,-15.471698113207555,5.24528301886793,3.233962264150936
DSS-BO-001-00010,GOOG,2024-05-17,2024-05-20,0.01138044838966401,0.6486117432862981,-1.9050310910118773,1.6884688526479508,-1.6207639125014217,-3.5730541647701397,1.490669094219399,-1.428948566226673
DSS-BO-001-00011,GOOGL,2024-05-20,2024-05-21,-0.005702554744535515,0.5360707157114231,-1.6109819048159335,0.5188815220524612,-0.2753082879265789,-4.22013116623895,0.7584830339321336,-1.0440262332477854
DSS-BO-001-00012,CALM,2024-05-21,2024-05-22,0.0,-2.056698165647586,1.191827468785478,-0.6730229949523214,-2.4091850178806773,-5.540114878636282,1.5193626088567669,-4.128108208263848
DSS-BO-001-00013,MSFT,2024-05-21,2024-05-22,0.24621212121211933,0.09918760627243284,-0.0471853914028153,-3.637350705754616,2.3759951010410285,-5.8969393538635835,0.8147553372378491,-1.496523710561126
DSS-BO-001-00014,CRDO,2024-05-22,2024-05-23,2.7207392197125424,-4.547726136931529,5.863874345549713,28.931750741839778,4.142692750287691,-5.147426286856582,39.93003498250873,35.48215892053972
DSS-BO-001-00015,NVDA,2024-05-23,2024-05-24,0.6272920285659067,1.937278220005756,3.782105560259663,4.0703472033360555,5.905923344947728,-1.3906205044595832,20.235925961446256,16.401131677376046
DSS-BO-001-00016,ENPH,2024-05-24,2024-05-28,3.083559674069325,0.2634841909485486,-1.1439171432988005,1.4620797498045457,2.034368498112027,-5.440173589584618,4.60322380657161,2.411593304401749
