variant,signal_shift_days,trades_total,trades_OOS,symbols_OOS,expectancy_net_x2_OOS_pct,profit_factor_net_x2_OOS,top_3_contribution_pct,base_edge_minus_placebo_edge,base_pf_minus_placebo_pf
DSS_BO_001_BASE,0,350,226,49,1.8694492545524646,1.5362776493101964,0.33902285429607426,,
PLACEBO_SHIFT_PLUS_1,1,350,226,49,1.8338945134715245,1.533128391761274,0.38067866160687275,0.03555474108094003,0.0031492575489224794
PLACEBO_SHIFT_PLUS_2,2,350,226,49,1.4063211663927426,1.4026987806520483,0.39606677358865783,0.46312808815972195,0.13357886865814805
PLACEBO_SHIFT_PLUS_3,3,350,226,49,1.3312237169181762,1.4050532373223497,0.33749464958402886,0.5382255376342884,0.13122441198784673
PLACEBO_SHIFT_PLUS_5,5,346,222,49,1.6794027085911194,1.4918553872847502,0.281193099330368,0.19004654596134518,0.04442226202544619
PLACEBO_SHIFT_PLUS_10,10,345,221,49,1.3562946012769252,1.3489309458818985,0.40131922601546505,0.5131546532755393,0.18734670342829784
