trade_id,symbol,signal_date,entry_date,exit_date,entry_price,exit_price,holding_days,gross_return_pct,net_return_x1_pct,net_return_x2_pct,net_return_x3_pct,cost_bps_x1,cost_bps_x2,cost_bps_x3,entry_model,exit_model
DSS-BO-001-00025,CARG,2024-06-06,2024-06-07,2024-06-24,25.25,25.25,10,0.0,-0.1,-0.2,-0.3,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00026,FOUR,2024-06-07,2024-06-10,2024-06-25,71.26,70.38,10,-1.2349143979792476,-1.3349143979792477,-1.4349143979792476,-1.5349143979792474,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00027,AVGO,2024-06-11,2024-06-12,2024-06-27,146.67,155.74,10,6.183950364764446,6.083950364764446,5.983950364764445,5.883950364764445,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00028,MSFT,2024-06-17,2024-06-18,2024-07-03,442.76,453.64,10,2.4573132170927714,2.3573132170927713,2.257313217092771,2.1573132170927716,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00029,AMZN,2024-06-21,2024-06-24,2024-07-09,189.36,199.34,10,5.270384452893961,5.170384452893961,5.070384452893961,4.970384452893962,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00030,GOOG,2024-06-25,2024-06-26,2024-07-11,182.8,185.87,10,1.6794310722100692,1.579431072210069,1.4794310722100692,1.3794310722100693,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00031,GOOGL,2024-06-25,2024-06-26,2024-07-11,181.27,184.15,10,1.5887902024604106,1.4887902024604105,1.3887902024604106,1.2887902024604108,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00032,APPF,2024-06-27,2024-06-28,2024-07-15,250.0,261.36,10,4.544000000000015,4.444000000000015,4.3440000000000145,4.244000000000014,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00033,META,2024-06-27,2024-06-28,2024-07-15,513.7,492.85,10,-4.058789176562206,-4.158789176562205,-4.258789176562205,-4.3587891765622055,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00034,AX,2024-06-28,2024-07-01,2024-07-16,57.2,70.81,10,23.793706293706297,23.693706293706295,23.593706293706298,23.493706293706296,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00035,CRDO,2024-06-28,2024-07-01,2024-07-16,31.24,33.83,10,8.290653008962877,8.190653008962878,8.090653008962878,7.9906530089628784,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00036,MNDY,2024-06-28,2024-07-01,2024-07-16,239.75,237.16,10,-1.0802919708029157,-1.1802919708029158,-1.2802919708029157,-1.3802919708029155,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00037,CALM,2024-07-01,2024-07-02,2024-07-17,55.39,57.98,10,4.675934284166816,4.5759342841668165,4.475934284166816,4.375934284166815,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00038,TSLA,2024-07-01,2024-07-02,2024-07-17,218.82,248.5,10,13.563659628918746,13.463659628918744,13.363659628918745,13.263659628918745,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00039,ZETA,2024-07-01,2024-07-02,2024-07-17,18.1,20.27,10,11.988950276243093,11.888950276243094,11.788950276243092,11.688950276243093,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00040,CVLT,2024-07-02,2024-07-03,2024-07-18,126.15,121.18,10,-3.939754260800632,-4.039754260800632,-4.139754260800633,-4.239754260800632,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00041,ALGM,2024-07-03,2024-07-05,2024-07-19,30.88,28.79,10,-6.768134715025909,-6.868134715025908,-6.968134715025909,-7.068134715025909,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00042,MSFT,2024-07-05,2024-07-08,2024-07-22,459.47,436.09,10,-5.088471499771485,-5.188471499771485,-5.288471499771486,-5.3884714997714855,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00043,AMBA,2024-07-08,2024-07-09,2024-07-23,61.22,57.77,10,-5.635413263639322,-5.735413263639321,-5.835413263639322,-5.935413263639322,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00044,FRPT,2024-07-08,2024-07-09,2024-07-23,135.5,120.01,10,-11.431734317343167,-11.531734317343167,-11.631734317343167,-11.731734317343168,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00045,SKYW,2024-07-08,2024-07-09,2024-07-23,83.86,86.25,10,2.8499880753636964,2.7499880753636963,2.649988075363696,2.5499880753636965,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00046,SOUN,2024-07-10,2024-07-11,2024-07-25,5.515,4.83,10,-12.420670897552121,-12.520670897552122,-12.620670897552122,-12.720670897552122,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00047,ARWR,2024-07-11,2024-07-12,2024-07-26,28.75,28.19,10,-1.9478260869565167,-2.047826086956517,-2.147826086956517,-2.2478260869565165,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00048,OLLI,2024-07-11,2024-07-12,2024-07-26,101.93,96.0,10,-5.8177180417933965,-5.917718041793396,-6.017718041793396,-6.117718041793396,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00049,AAON,2024-07-15,2024-07-16,2024-07-30,91.33,85.88,10,-5.967371071936933,-6.067371071936933,-6.167371071936934,-6.2673710719369335,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00050,UPST,2024-07-15,2024-07-16,2024-07-30,30.22,26.03,10,-13.864990072799465,-13.964990072799466,-14.064990072799466,-14.164990072799466,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00051,FN,2024-07-16,2024-07-17,2024-07-31,259.49,220.56,10,-15.002504913484149,-15.10250491348415,-15.20250491348415,-15.30250491348415,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00052,GH,2024-07-16,2024-07-17,2024-07-31,33.02,35.13,10,6.390066626287094,6.290066626287095,6.190066626287094,6.0900666262870935,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00053,IOVA,2024-07-16,2024-07-17,2024-07-31,9.23,8.73,10,-5.417118093174434,-5.5171180931744335,-5.617118093174433,-5.717118093174434,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00054,APPF,2024-07-22,2024-07-23,2024-08-06,270.0,208.09,10,-22.929629629629634,-23.029629629629632,-23.129629629629633,-23.229629629629635,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00055,TMDX,2024-07-23,2024-07-24,2024-08-07,153.53,145.85,10,-5.0022796847521755,-5.102279684752176,-5.202279684752176,-5.302279684752175,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00056,PRVA,2024-07-30,2024-07-31,2024-08-14,20.99,19.28,10,-8.146736541210087,-8.246736541210087,-8.346736541210086,-8.446736541210086,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00057,CRDO,2024-08-21,2024-08-22,2024-09-06,36.16,24.38,10,-32.57743362831857,-32.677433628318575,-32.777433628318576,-32.87743362831858,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00058,AAON,2024-08-23,2024-08-26,2024-09-10,94.22,87.64,10,-6.983655274888556,-7.083655274888557,-7.183655274888556,-7.283655274888556,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00059,ENPH,2024-08-23,2024-08-26,2024-09-10,125.0,104.61,10,-16.312000000000005,-16.412000000000006,-16.512000000000004,-16.612000000000005,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00060,WING,2024-08-23,2024-08-26,2024-09-10,397.72,376.54,10,-5.325354520768377,-5.425354520768377,-5.525354520768378,-5.6253545207683775,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00061,ZETA,2024-08-30,2024-09-03,2024-09-17,26.45,27.44,10,3.7429111531191106,3.6429111531191105,3.5429111531191104,3.4429111531191103,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00062,INSP,2024-09-09,2024-09-10,2024-09-24,211.0,207.73,10,-1.5497630331753554,-1.6497630331753554,-1.7497630331753555,-1.8497630331753552,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00063,SKYW,2024-09-13,2024-09-16,2024-09-30,78.39,85.02,10,8.457711442786064,8.357711442786064,8.257711442786064,8.157711442786065,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00064,WING,2024-09-17,2024-09-18,2024-10-02,412.17,419.18,10,1.70075454302836,1.6007545430283598,1.50075454302836,1.40075454302836,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00065,AAON,2024-09-19,2024-09-20,2024-10-04,101.37,106.94,10,5.494722304429311,5.394722304429312,5.294722304429311,5.194722304429311,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00066,CALM,2024-09-19,2024-09-20,2024-10-04,65.72,75.55,10,14.957395009129648,14.857395009129648,14.757395009129649,14.657395009129647,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00067,FOUR,2024-09-19,2024-09-20,2024-10-04,86.4,91.55,10,5.96064814814814,5.86064814814814,5.76064814814814,5.660648148148139,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00068,MNDY,2024-09-19,2024-09-20,2024-10-04,273.15,277.59,10,1.6254805052169141,1.525480505216914,1.4254805052169142,1.3254805052169143,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00069,OLLI,2024-09-23,2024-09-24,2024-10-08,101.72,94.48,10,-7.117577664176167,-7.217577664176167,-7.3175776641761665,-7.417577664176167,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00070,APPF,2024-09-24,2024-09-25,2024-10-09,239.63,225.16,10,-6.038475983808366,-6.138475983808367,-6.238475983808367,-6.338475983808367,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00071,TSLA,2024-09-24,2024-09-25,2024-10-09,252.55,241.05,10,-4.553553751732331,-4.653553751732331,-4.753553751732332,-4.853553751732331,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00072,HIMS,2024-09-26,2024-09-27,2024-10-11,17.81,18.69,10,4.941044357102764,4.8410443571027635,4.741044357102764,4.641044357102764,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00073,AEO,2024-09-27,2024-09-30,2024-10-14,20.76,19.67,10,-5.250481695568398,-5.350481695568399,-5.450481695568399,-5.550481695568399,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00074,GOOG,2024-09-30,2024-10-01,2024-10-15,167.8,165.85,10,-1.1620977353992923,-1.2620977353992924,-1.3620977353992922,-1.462097735399292,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00075,GOOGL,2024-09-30,2024-10-01,2024-10-15,166.61,164.41,10,-1.3204489526439045,-1.4204489526439046,-1.5204489526439044,-1.6204489526439043,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00076,CRDO,2024-10-04,2024-10-07,2024-10-21,32.33,39.93,10,23.507578100835147,23.407578100835146,23.307578100835148,23.207578100835146,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00077,FN,2024-10-04,2024-10-07,2024-10-21,240.26,248.5,10,3.429617913926575,3.3296179139265747,3.2296179139265746,3.1296179139265745,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00078,META,2024-10-04,2024-10-07,2024-10-21,594.8,571.87,10,-3.8550773369199653,-3.9550773369199654,-4.0550773369199655,-4.155077336919966,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00079,NVDA,2024-10-07,2024-10-08,2024-10-22,130.04,143.37,10,10.2506920947401,10.1506920947401,10.0506920947401,9.950692094740099,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-BO-001-00080,AVGO,2024-10-08,2024-10-09,2024-10-23,176.46,170.87,10,-3.167856738070951,-3.267856738070951,-3.367856738070951,-3.4678567380709513,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
