episode_id,episode_type,policy,offset,symbol,first_signal_date,source_first_signal_date,offset_signal_date,entry_date,exit_date,entry_price,exit_price,holding_days,truncated,gross_return_pct,net_return_x1_pct,net_return_x2_pct,net_return_x3_pct
EPISODE_GAP_5-LLY-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,LLY,2024-04-30,2024-04-30,2024-04-30,2024-05-01,2024-05-15,762.78,776.18,10,False,1.7567319541676563,1.6567319541676562,1.5567319541676563,1.4567319541676564
EPISODE_GAP_5-ADP-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,ADP,2024-05-01,2024-05-01,2024-05-01,2024-05-02,2024-05-16,233.16,236.99,10,False,1.6426488248413085,1.5426488248413084,1.4426488248413085,1.3426488248413087
EPISODE_GAP_5-SCHW-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,SCHW,2024-05-01,2024-05-01,2024-05-01,2024-05-02,2024-05-16,73.16,76.0,10,False,3.88190267905959,3.78190267905959,3.68190267905959,3.58190267905959
EPISODE_GAP_5-OLLI-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,OLLI,2024-05-03,2024-05-03,2024-05-03,2024-05-06,2024-05-20,78.51,73.17,10,False,-6.801681314482233,-6.901681314482233,-7.001681314482234,-7.101681314482233
EPISODE_GAP_5-ABNB-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,ABNB,2024-05-06,2024-05-06,2024-05-06,2024-05-07,2024-05-21,161.71,144.1,10,False,-10.889864572382669,-10.989864572382668,-11.089864572382668,-11.189864572382668
EPISODE_GAP_5-FRPT-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,FRPT,2024-05-06,2024-05-06,2024-05-06,2024-05-07,2024-05-21,122.78,126.67,10,False,3.1682684476299183,3.0682684476299182,2.968268447629918,2.8682684476299185
EPISODE_GAP_5-GS-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,GS,2024-05-06,2024-05-06,2024-05-06,2024-05-07,2024-05-21,424.85,448.94,10,False,5.670236554077901,5.570236554077901,5.470236554077901,5.3702365540779
EPISODE_GAP_5-HOOD-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,HOOD,2024-05-06,2024-05-06,2024-05-06,2024-05-07,2024-05-21,17.76,20.96,10,False,18.01801801801801,17.91801801801801,17.818018018018012,17.71801801801801
EPISODE_GAP_5-INSP-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,INSP,2024-05-06,2024-05-06,2024-05-06,2024-05-07,2024-05-21,251.84,152.37,10,False,-39.4972998729352,-39.597299872935196,-39.6972998729352,-39.7972998729352
EPISODE_GAP_5-MS-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,MS,2024-05-06,2024-05-06,2024-05-06,2024-05-07,2024-05-21,89.81,96.07,10,False,6.970270571205872,6.870270571205872,6.770270571205872,6.670270571205872
EPISODE_GAP_5-PLTR-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,PLTR,2024-05-06,2024-05-06,2024-05-06,2024-05-07,2024-05-21,21.99,21.24,10,False,-3.4106412005457054,-3.5106412005457055,-3.6106412005457056,-3.7106412005457057
EPISODE_GAP_5-IOVA-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,IOVA,2024-05-07,2024-05-07,2024-05-07,2024-05-08,2024-05-22,13.76,10.33,10,False,-24.927325581395344,-25.027325581395342,-25.127325581395343,-25.227325581395345
EPISODE_GAP_5-NEE-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,NEE,2024-05-07,2024-05-07,2024-05-07,2024-05-08,2024-05-22,67.23,71.56,10,False,6.440577123308033,6.340577123308034,6.240577123308033,6.140577123308033
EPISODE_GAP_5-RTX-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,RTX,2024-05-07,2024-05-07,2024-05-07,2024-05-08,2024-05-22,98.94,102.49,10,False,3.588033151404879,3.488033151404879,3.388033151404879,3.288033151404879
EPISODE_GAP_5-VRTX-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,VRTX,2024-05-07,2024-05-07,2024-05-07,2024-05-08,2024-05-22,413.33,447.53,10,False,8.274260276292544,8.174260276292545,8.074260276292545,7.974260276292544
EPISODE_GAP_5-BAC-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,BAC,2024-05-08,2024-05-08,2024-05-08,2024-05-09,2024-05-23,35.63,37.19,10,False,4.378332865562706,4.278332865562707,4.178332865562706,4.078332865562706
EPISODE_GAP_5-BROS-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,BROS,2024-05-08,2024-05-08,2024-05-08,2024-05-09,2024-05-23,32.41,34.26,10,False,5.708114779389084,5.6081147793890835,5.508114779389084,5.408114779389084
EPISODE_GAP_5-WFC-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,WFC,2024-05-08,2024-05-08,2024-05-08,2024-05-09,2024-05-23,58.04,57.03,10,False,-1.740179186767743,-1.840179186767743,-1.9401791867677431,-2.040179186767743
EPISODE_GAP_5-AMAT-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,AMAT,2024-05-09,2024-05-09,2024-05-09,2024-05-10,2024-05-24,205.58,217.23,10,False,5.66689366669908,5.56689366669908,5.46689366669908,5.366893666699079
EPISODE_GAP_5-MDT-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,MDT,2024-05-09,2024-05-09,2024-05-09,2024-05-10,2024-05-24,77.12,76.46,10,False,-0.8558091286307246,-0.9558091286307246,-1.0558091286307245,-1.1558091286307244
EPISODE_GAP_5-BLK-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,BLK,2024-05-10,2024-05-10,2024-05-10,2024-05-13,2024-05-28,760.89,734.61,10,False,-3.4538500965973995,-3.5538500965973996,-3.6538500965973997,-3.7538500965973998
EPISODE_GAP_5-CARG-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,CARG,2024-05-10,2024-05-10,2024-05-10,2024-05-13,2024-05-28,24.29,23.47,10,False,-3.3758748456154786,-3.4758748456154787,-3.5758748456154787,-3.675874845615479
EPISODE_GAP_5-DUK-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,DUK,2024-05-10,2024-05-10,2024-05-10,2024-05-13,2024-05-28,94.68,94.21,10,False,-0.49640895648501715,-0.5964089564850171,-0.6964089564850171,-0.7964089564850171
