trade_id,policy,variant,symbol,signal_date,source_signal_date,entry_date,exit_date,entry_price,exit_price,holding_days,truncated,gross_return_pct,net_return_x1_pct,net_return_x2_pct,net_return_x3_pct,cost_bps_x1,cost_bps_x2,cost_bps_x3,entry_model,exit_model
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00016,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,PANW,2024-04-24,2024-04-24,2024-04-25,2024-05-09,142.79,147.84,10,False,3.5366622312486884,3.4366622312486883,3.336662231248688,3.236662231248688,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00017,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,TGT,2024-04-25,2024-04-25,2024-04-26,2024-05-10,151.76,149.9,10,False,-1.2256193990511255,-1.3256193990511256,-1.4256193990511254,-1.5256193990511253,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00018,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,ZETA,2024-04-25,2024-04-25,2024-04-26,2024-05-10,12.45,15.8,10,False,26.907630522088375,26.807630522088377,26.707630522088376,26.607630522088378,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00019,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,APPF,2024-04-26,2024-04-26,2024-04-29,2024-05-13,242.75,249.41,10,False,2.7435633367662193,2.6435633367662192,2.543563336766219,2.4435633367662195,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00020,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,AEO,2024-04-30,2024-04-30,2024-05-01,2024-05-15,22.62,22.69,10,False,0.30946065428825165,0.20946065428825164,0.10946065428825164,0.00946065428825164,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00021,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,CAVA,2024-04-30,2024-04-30,2024-05-01,2024-05-15,71.12,78.63,10,False,10.559617547806521,10.459617547806522,10.359617547806522,10.25961754780652,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00022,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,LLY,2024-04-30,2024-04-30,2024-05-01,2024-05-15,762.78,776.18,10,False,1.7567319541676563,1.6567319541676562,1.5567319541676563,1.4567319541676564,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00023,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,ADP,2024-05-01,2024-05-01,2024-05-02,2024-05-16,233.16,236.99,10,False,1.6426488248413085,1.5426488248413084,1.4426488248413085,1.3426488248413087,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00024,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,SCHW,2024-05-01,2024-05-01,2024-05-02,2024-05-16,73.16,76.0,10,False,3.88190267905959,3.78190267905959,3.68190267905959,3.58190267905959,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00025,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,OLLI,2024-05-03,2024-05-03,2024-05-06,2024-05-20,78.51,73.17,10,False,-6.801681314482233,-6.901681314482233,-7.001681314482234,-7.101681314482233,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00026,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,ABNB,2024-05-06,2024-05-06,2024-05-07,2024-05-21,161.71,144.1,10,False,-10.889864572382669,-10.989864572382668,-11.089864572382668,-11.189864572382668,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00027,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,FRPT,2024-05-06,2024-05-06,2024-05-07,2024-05-21,122.78,126.67,10,False,3.1682684476299183,3.0682684476299182,2.968268447629918,2.8682684476299185,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00028,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,GS,2024-05-06,2024-05-06,2024-05-07,2024-05-21,424.85,448.94,10,False,5.670236554077901,5.570236554077901,5.470236554077901,5.3702365540779,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00029,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,HOOD,2024-05-06,2024-05-06,2024-05-07,2024-05-21,17.76,20.96,10,False,18.01801801801801,17.91801801801801,17.818018018018012,17.71801801801801,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00030,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,INSP,2024-05-06,2024-05-06,2024-05-07,2024-05-21,251.84,152.37,10,False,-39.4972998729352,-39.597299872935196,-39.6972998729352,-39.7972998729352,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00031,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,MS,2024-05-06,2024-05-06,2024-05-07,2024-05-21,89.81,96.07,10,False,6.970270571205872,6.870270571205872,6.770270571205872,6.670270571205872,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00032,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,PLTR,2024-05-06,2024-05-06,2024-05-07,2024-05-21,21.99,21.24,10,False,-3.4106412005457054,-3.5106412005457055,-3.6106412005457056,-3.7106412005457057,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00033,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,IOVA,2024-05-07,2024-05-07,2024-05-08,2024-05-22,13.76,10.33,10,False,-24.927325581395344,-25.027325581395342,-25.127325581395343,-25.227325581395345,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00034,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,NEE,2024-05-07,2024-05-07,2024-05-08,2024-05-22,67.23,71.56,10,False,6.440577123308033,6.340577123308034,6.240577123308033,6.140577123308033,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00035,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,RTX,2024-05-07,2024-05-07,2024-05-08,2024-05-22,98.94,102.49,10,False,3.588033151404879,3.488033151404879,3.388033151404879,3.288033151404879,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00036,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,VRTX,2024-05-07,2024-05-07,2024-05-08,2024-05-22,413.33,447.53,10,False,8.274260276292544,8.174260276292545,8.074260276292545,7.974260276292544,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00037,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,BAC,2024-05-08,2024-05-08,2024-05-09,2024-05-23,35.63,37.19,10,False,4.378332865562706,4.278332865562707,4.178332865562706,4.078332865562706,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00038,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,BROS,2024-05-08,2024-05-08,2024-05-09,2024-05-23,32.41,34.26,10,False,5.708114779389084,5.6081147793890835,5.508114779389084,5.408114779389084,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
