quarter,trades,net_x2_sum_pct,net_x2_expectancy_pct
2024Q2,27,80.11238609087974,2.9671254107733236
2024Q3,36,-105.1741409601744,-2.9215039155604
2024Q4,60,89.30862326853276,1.488477054475546
2025Q1,20,-21.058149989203653,-1.0529074994601826
2025Q2,43,207.10538689963997,4.816404346503255
2025Q3,76,88.30510866935265,1.1619093245967453
2025Q4,29,37.3396666523401,1.2875747121496586
2026Q1,25,4.039102033245937,0.1615640813298375
2026Q2,29,67.09819403110563,2.313730828658815
2026Q3,5,36.932031760131814,7.386406352026363
